Station,Date,Aerosol_Type_Land
AV,4/30/2015,1.84350323
AV,5/1/2015,1.835266947
AV,5/2/2015,1.90810759
AV,5/3/2015,1.950264046
AV,5/4/2015,1.944885734
AV,5/5/2015,1.828819631
AV,5/6/2015,1.863428137
AV,5/7/2015,1.930333928
AV,5/8/2015,1.900697149
AV,5/9/2015,1.902688257
AV,5/10/2015,1.794428279
AV,5/11/2015,1.967524713
AV,5/12/2015,1.783618481
AV,5/13/2015,1.875712714
AV,5/14/2015,1.81697593
AV,5/15/2015,1.836438471
AV,5/16/2015,1.939025457
AV,5/17/2015,1.92168519
AV,5/18/2015,1.906067282
AV,5/19/2015,1.750907791
AV,5/20/2015,1.948170756
AV,5/21/2015,1.787507864
AV,5/22/2015,1.869494884
AV,5/23/2015,1.900573966
AV,5/24/2015,1.771136795
AV,5/25/2015,1.757409486
AV,5/26/2015,1.761784669
AV,5/27/2015,1.937216747
AV,5/28/2015,1.877912916
AV,5/29/2015,1.960246163
AV,5/30/2015,1.808850749
AV,5/31/2015,1.831764932
AV,6/1/2015,1.919634824
AV,6/2/2015,1.813342591
AV,6/3/2015,1.861138646
AV,6/4/2015,1.746778174
AV,6/5/2015,1.917943226
AV,6/6/2015,1.827391709
AV,6/7/2015,1.869246788
AV,6/8/2015,1.894099072
AV,6/9/2015,1.94374384
AV,6/10/2015,1.680509978
AV,6/11/2015,1.831731712
AV,6/12/2015,1.873796064
AV,6/13/2015,1.867687227
AV,6/14/2015,1.925242092
AV,6/15/2015,1.749315711
AV,6/16/2015,1.836762095
AV,6/17/2015,1.940328394
AV,6/18/2015,1.827935885
AV,6/19/2015,1.857631552
AV,6/20/2015,1.7832431
AV,6/21/2015,1.935437722
AV,6/22/2015,1.852277876
AV,6/23/2015,1.852701811
AV,6/24/2015,1.622795511
AV,6/25/2015,1.950408035
AV,6/26/2015,1.79878758
AV,6/27/2015,1.845515919
AV,6/28/2015,1.946024625
AV,6/29/2015,1.762223151
AV,6/30/2015,1.981261007
AV,7/1/2015,1.790925239
AV,7/2/2015,1.873384105
AV,7/3/2015,1.965801389
AV,7/4/2015,1.896820213
AV,7/5/2015,1.786372539
AV,7/6/2015,1.986974513
AV,7/7/2015,1.974247265
AV,7/8/2015,1.978991597
AV,7/9/2015,1.941555977
AV,7/10/2015,1.733558295
AV,7/11/2015,1.838279857
AV,7/12/2015,1.698856362
AV,7/13/2015,1.942732874
AV,7/14/2015,1.938450103
AV,7/15/2015,1.822697126
AV,7/16/2015,1.921361502
AV,7/17/2015,1.840313332
AV,7/18/2015,1.767745827
AV,7/19/2015,1.957025982
AV,7/20/2015,1.912800875
AV,7/21/2015,1.784438624
AV,7/22/2015,1.907636111
AV,7/23/2015,1.862716763
AV,7/24/2015,1.831184107
AV,7/25/2015,1.878988709
AV,7/26/2015,1.630038943
AV,7/27/2015,1.994557716
AV,7/28/2015,1.997873202
AV,7/29/2015,1.951787569
AV,7/30/2015,1.885556705
AV,7/31/2015,1.681462141
AV,8/1/2015,1.995303867
AV,8/2/2015,1.688144593
AV,8/3/2015,1.868688334
AV,8/4/2015,1.974495913
AV,8/5/2015,1.832381859
AV,8/6/2015,1.70982507
AV,8/7/2015,1.966338993
AV,8/8/2015,1.861352441
AV,8/9/2015,1.900977922
AV,8/10/2015,1.814171724
AV,8/11/2015,1.867746743
AV,8/12/2015,1.754566995
AV,8/13/2015,1.783294154
AV,8/14/2015,1.87089261
AV,8/15/2015,1.814325323
AV,8/16/2015,1.927078702
AV,8/17/2015,1.811589595
AV,8/18/2015,1.909938424
AV,8/19/2015,1.909515718
AV,8/20/2015,1.987840762
AV,8/21/2015,1.83807476
AV,8/22/2015,1.861603784
AV,8/23/2015,1.975371092
AV,8/24/2015,1.956298821
AV,8/25/2015,1.956933855
AV,8/26/2015,1.916143545
AV,8/27/2015,1.932013141
AV,8/28/2015,1.723712358
AV,8/29/2015,1.826304352
AV,8/30/2015,1.915154749
AV,8/31/2015,1.933929665
AV,9/1/2015,1.854062642
AV,9/2/2015,1.912128537
AV,9/3/2015,1.931548355
AV,9/4/2015,1.966579899
AV,9/5/2015,1.996028143
AV,9/6/2015,1.817298858
AV,9/7/2015,1.933111832
AV,9/8/2015,1.994751603
AV,9/9/2015,1.952719847
AV,9/10/2015,1.928914809
AV,9/11/2015,1.883647477
AV,9/12/2015,1.983704318
AV,9/13/2015,1.978372737
AV,9/14/2015,1.847463884
AV,9/15/2015,1.791967509
AV,9/16/2015,1.907885351
AV,9/17/2015,1.777263158
AV,9/18/2015,1.889785984
AV,9/19/2015,1.954106568
AV,9/20/2015,1.941459877
AV,9/21/2015,1.994541059
AV,9/22/2015,1.805367945
AV,9/23/2015,1.863181313
AV,9/24/2015,1.992686119
AV,9/25/2015,1.675609756
AV,9/26/2015,1.884535386
AV,9/27/2015,1.920197812
AV,9/28/2015,1.985563792
AV,9/29/2015,1.966714784
AV,9/30/2015,1.941423343
AV,10/1/2015,1.979804067
AV,10/2/2015,1.945028914
AV,10/3/2015,1.871042091
AV,10/4/2015,1.86483204
AV,10/5/2015,1.930863697
AV,10/6/2015,1.941634621
AV,10/7/2015,1.838676469
AV,10/8/2015,1.827304838
AV,10/9/2015,1.957885458
AV,10/10/2015,1.803204388
AV,10/11/2015,1.935676047
AV,10/12/2015,1.854889203
AV,10/13/2015,1.846941776
AV,10/14/2015,1.96521241
AV,10/15/2015,1.7723148
AV,10/16/2015,1.954000344
AV,10/17/2015,1.923176471
AV,10/18/2015,1.946206026
AV,10/19/2015,1.730344
AV,10/20/2015,1.870116704
AV,10/21/2015,1.932018205
AV,10/22/2015,1.91496255
AV,10/23/2015,1.97655398
AV,10/24/2015,1.897248495
AV,10/25/2015,1.948115053
AV,10/26/2015,1.782434053
AV,10/27/2015,1.929132609
AV,10/28/2015,1.826091344
AV,10/29/2015,1.728755967
AV,10/30/2015,1.947611748
AV,10/31/2015,1.936471957
AV,11/1/2015,1.957795393
AV,11/2/2015,1.917043539
AV,11/3/2015,1.927326045
AV,11/4/2015,1.845490327
AV,11/5/2015,1.944472236
AV,11/6/2015,1.895407784
AV,11/7/2015,1.952207398
AV,11/8/2015,1.824173076
AV,11/9/2015,1.715012507
AV,11/10/2015,1.90525837
AV,11/11/2015,1.986733893
AV,11/12/2015,1.933177139
AV,11/13/2015,1.765252957
AV,11/14/2015,1.895262955
AV,11/15/2015,1.929606651
AV,11/16/2015,1.934969826
AV,11/17/2015,1.925383317
AV,11/18/2015,1.908301759
AV,11/19/2015,1.942703788
AV,11/20/2015,1.901196172
AV,11/21/2015,1.911058707
AV,11/22/2015,1.82270848
AV,11/23/2015,1.928178589
AV,11/24/2015,1.973666809
AV,11/25/2015,1.98838781
AV,11/26/2015,1.946571864
AV,11/27/2015,1.993043943
AV,11/28/2015,1.927015691
AV,11/29/2015,1.790151947
AV,11/30/2015,1.889535851
AV,12/1/2015,2.077312351
AV,12/2/2015,2.643702343
AV,12/3/2015,1.990193713
AV,12/4/2015,2.624443455
AV,12/5/2015,2.380789899
AV,12/6/2015,1.762709067
AV,12/7/2015,2.179180135
AV,12/8/2015,1.990714967
AV,12/9/2015,2.706018435
AV,12/10/2015,2.272440786
AV,12/11/2015,2.7186742
AV,12/12/2015,2.160651984
AV,12/13/2015,1.744455404
AV,12/14/2015,2.355747211
AV,12/15/2015,1.824679054
AV,12/16/2015,2.402347908
AV,12/17/2015,2.102926503
AV,12/18/2015,1.831688055
AV,12/19/2015,2.034740674
AV,12/20/2015,1.835003364
AV,12/21/2015,2.336318512
AV,12/22/2015,1.84787627
AV,12/23/2015,2.210294153
AV,12/24/2015,1.988985643
AV,12/25/2015,2.590578511
AV,12/26/2015,1.986892561
AV,12/27/2015,1.739728983
AV,12/28/2015,2.232658099
AV,12/29/2015,2.634192636
AV,12/30/2015,2.406813446
AV,12/31/2015,1.88728447
AV,1/1/2016,2.3971207
AV,1/2/2016,2.164065893
AV,1/3/2016,1.898807606
AV,1/4/2016,2.122554189
AV,1/5/2016,1.862563628
AV,1/6/2016,2.534859037
AV,1/7/2016,1.745567376
AV,1/8/2016,2.120030084
AV,1/9/2016,2.019770064
AV,1/10/2016,2.63009152
AV,1/11/2016,2.278845708
AV,1/12/2016,2.670016308
AV,1/13/2016,2.230719289
AV,1/14/2016,1.889776962
AV,1/15/2016,2.493773532
AV,1/16/2016,1.81698053
AV,1/17/2016,2.307811563
AV,1/18/2016,2.112601704
AV,1/19/2016,1.771386682
AV,1/20/2016,1.819773921
AV,1/21/2016,2.323365355
AV,1/22/2016,2.527248766
AV,1/23/2016,1.706782953
AV,1/24/2016,2.060876309
AV,1/25/2016,2.131384298
AV,1/26/2016,2.72879065
AV,1/27/2016,2.266395569
AV,1/28/2016,1.994241843
AV,1/29/2016,2.36379849
AV,1/30/2016,2.741185971
AV,1/31/2016,2.524247347
AV,2/1/2016,1.871861934
AV,2/2/2016,2.444690294
AV,2/3/2016,2.193848921
AV,2/4/2016,1.692767031
AV,2/5/2016,2.102082004
AV,2/6/2016,2.485023155
AV,2/7/2016,2.456612145
AV,2/8/2016,1.924999135
AV,2/9/2016,2.18210107
AV,2/10/2016,2.067514812
AV,2/11/2016,2.604959012
AV,2/12/2016,2.306230339
AV,2/13/2016,2.608616693
AV,2/14/2016,2.267273275
AV,2/15/2016,1.850637445
AV,2/16/2016,1.921813818
AV,2/17/2016,1.864299561
AV,2/18/2016,2.590729345
AV,2/28/2016,1.864485727
AV,2/29/2016,2.15327291
AV,3/1/2016,1.990647688
AV,3/2/2016,2.045706309
AV,3/3/2016,1.861025897
AV,3/4/2016,1.843951969
AV,3/5/2016,1.920482202
AV,3/6/2016,1.973799481
AV,3/7/2016,1.769940315
AV,3/8/2016,1.957864597
AV,3/9/2016,2.007840904
AV,3/10/2016,1.983010085
AV,3/11/2016,1.62961694
AV,3/12/2016,1.92325315
AV,3/13/2016,1.959503123
AV,3/14/2016,1.894808848
AV,3/15/2016,1.982420827
AV,3/16/2016,1.982457609
AV,3/17/2016,1.986318353
AV,3/18/2016,2.04900717
AV,3/19/2016,1.944328514
AV,3/20/2016,1.833779508
AV,3/21/2016,1.91605576
AV,3/22/2016,1.977805313
AV,3/23/2016,1.540752351
AV,3/24/2016,1.987100523
AV,3/25/2016,1.83550143
AV,3/26/2016,1.978024409
AV,3/27/2016,1.902703116
AV,3/28/2016,1.961084053
AV,3/29/2016,1.926142105
AV,3/30/2016,1.950305638
AV,3/31/2016,1.984446301
AV,4/1/2016,1.624082505
AV,4/2/2016,1.986150292
AV,4/3/2016,1.836552749
AV,4/4/2016,1.942631501
AV,4/5/2016,1.887827188
AV,4/6/2016,1.871440536
AV,4/7/2016,1.93494111
AV,4/8/2016,1.591898657
AV,4/9/2016,1.913945365
AV,4/10/2016,1.892824336
AV,4/11/2016,1.966536601
AV,4/12/2016,1.884954967
AV,4/13/2016,1.938227188
AV,4/14/2016,1.922088086
AV,4/15/2016,1.892558916
AV,4/16/2016,1.941597618
AV,4/17/2016,1.86693473
AV,4/18/2016,1.947051561
AV,4/19/2016,1.905117937
AV,4/20/2016,1.938767808
AV,4/21/2016,1.748173886
AV,4/22/2016,1.851829771
AV,4/23/2016,1.899544465
AV,4/24/2016,1.851396831
AV,4/25/2016,1.82443967
AV,4/26/2016,1.778194591
AV,4/27/2016,1.921200651
AV,4/28/2016,1.828733018
AV,4/29/2016,1.838763933
AV,4/30/2016,1.861932595
AV,5/1/2016,1.873262209
AV,5/2/2016,1.980630096
AV,5/3/2016,1.877858628
AV,5/4/2016,1.930856997
AV,5/5/2016,2.047789337
AV,5/6/2016,1.910250638
AV,5/7/2016,1.86342671
AV,5/8/2016,1.85826382
AV,5/9/2016,1.922956737
AV,5/10/2016,1.849089968
AV,5/11/2016,1.869517707
AV,5/12/2016,1.786412703
AV,5/13/2016,1.926730182
AV,5/14/2016,1.783882608
AV,5/15/2016,1.854989817
AV,5/16/2016,1.867298264
AV,5/17/2016,1.830202994
AV,5/18/2016,1.884825665
AV,5/19/2016,1.941896985
AV,5/20/2016,1.863273196
AV,5/21/2016,1.787303481
AV,5/22/2016,1.939121337
AV,5/23/2016,1.704453008
AV,5/24/2016,1.868194842
AV,5/25/2016,1.873042692
AV,5/26/2016,1.910744839
AV,5/27/2016,1.770345701
AV,5/28/2016,1.700099701
AV,5/29/2016,1.875283711
AV,5/30/2016,1.879792558
AV,5/31/2016,1.969796592
AV,6/1/2016,1.807122999
AV,6/2/2016,1.82047063
AV,6/3/2016,1.916401743
AV,6/4/2016,1.936662043
AV,6/5/2016,1.851860575
AV,6/6/2016,1.810340898
AV,6/7/2016,1.89206955
AV,6/8/2016,1.826192161
AV,6/9/2016,1.871212453
AV,6/10/2016,1.837033242
AV,6/11/2016,1.836420387
AV,6/12/2016,1.74121049
AV,6/13/2016,1.856148162
AV,6/14/2016,1.888602013
AV,6/15/2016,1.913514801
AV,6/16/2016,1.979940493
AV,6/17/2016,1.798041582
AV,6/18/2016,1.563183524
AV,6/19/2016,1.976139854
AV,6/20/2016,1.904458599
AV,6/21/2016,1.747266589
AV,6/22/2016,1.86192053
AV,6/23/2016,1.931384099
AV,6/24/2016,1.882432366
AV,6/25/2016,1.89536323
AV,6/26/2016,1.862258561
AV,6/27/2016,1.738455568
AV,6/28/2016,1.963509635
AV,6/29/2016,1.884149552
AV,6/30/2016,1.895667952
AV,7/1/2016,1.892304266
AV,7/2/2016,1.89638777
AV,7/3/2016,1.749435077
AV,7/4/2016,1.804022082
AV,7/5/2016,1.980886621
AV,7/6/2016,1.820055797
AV,7/7/2016,1.764584728
AV,7/8/2016,1.860787671
AV,7/9/2016,1.909286593
AV,7/10/2016,1.924648455
AV,7/11/2016,1.904007757
AV,7/12/2016,1.847356082
AV,7/13/2016,1.987956928
AV,7/14/2016,1.993449116
AV,7/15/2016,1.861346179
AV,7/16/2016,1.841578087
AV,7/17/2016,1.946119959
AV,7/18/2016,1.988518198
AV,7/19/2016,1.92764878
AV,7/20/2016,1.775300833
AV,7/21/2016,1.993123934
AV,7/22/2016,1.806663837
AV,7/23/2016,1.82344662
AV,7/24/2016,1.898743413
AV,7/25/2016,1.906701457
AV,7/26/2016,1.94372679
AV,7/27/2016,1.850121994
AV,7/28/2016,1.788344204
AV,7/29/2016,1.999024581
AV,7/30/2016,1.67140261
AV,7/31/2016,1.931295444
AV,8/1/2016,1.815803313
AV,8/2/2016,1.859576427
AV,8/3/2016,1.892649263
AV,8/4/2016,1.918480472
AV,8/5/2016,1.981248621
AV,8/6/2016,1.98970108
AV,8/7/2016,1.989705882
AV,8/8/2016,1.683086396
AV,8/9/2016,1.987331482
AV,8/10/2016,1.897500349
AV,8/11/2016,1.940474838
AV,8/12/2016,1.798952357
AV,8/13/2016,1.926873628
AV,8/14/2016,1.919755308
AV,8/15/2016,1.812920889
AV,8/16/2016,1.985797744
AV,8/17/2016,1.921533213
AV,8/18/2016,1.948689956
AV,8/19/2016,1.782695919
AV,8/20/2016,1.941122234
AV,8/21/2016,1.974129435
AV,8/22/2016,1.756942734
AV,8/23/2016,1.891567243
AV,8/24/2016,1.755618939
AV,8/25/2016,1.912608102
AV,8/26/2016,1.947441111
AV,8/27/2016,1.946729056
AV,8/28/2016,1.976375197
AV,8/29/2016,1.949105915
AV,8/30/2016,1.819090306
AV,8/31/2016,1.724472113
AV,9/1/2016,1.957358053
AV,9/2/2016,1.877923293
AV,9/3/2016,1.856821719
AV,9/4/2016,1.8644058
AV,9/5/2016,1.960256265
AV,9/6/2016,1.970111172
AV,9/7/2016,1.832477855
AV,9/8/2016,1.884943884
AV,9/9/2016,1.90675816
AV,9/10/2016,1.865316298
AV,9/11/2016,1.91519761
AV,9/12/2016,1.949574942
AV,9/13/2016,1.900009739
AV,9/14/2016,1.98811107
AV,9/15/2016,1.992882271
AV,9/16/2016,1.888001191
AV,9/17/2016,1.860420901
AV,9/18/2016,1.882294491
AV,9/19/2016,1.872231894
AV,9/20/2016,1.833866792
AV,9/21/2016,1.969756854
AV,9/22/2016,1.893569064
AV,9/23/2016,1.992252612
AV,9/24/2016,1.855242769
AV,9/25/2016,1.908365117
AV,9/26/2016,1.942795076
AV,9/27/2016,1.831412655
AV,9/28/2016,1.933269476
AV,9/29/2016,1.833981593
AV,9/30/2016,1.9800079
AV,10/1/2016,1.937731798
AV,10/2/2016,1.902141875
AV,10/3/2016,1.985654807
AV,10/4/2016,1.915186202
AV,10/5/2016,1.798251896
AV,10/6/2016,1.763176702
AV,10/7/2016,1.955057529
AV,10/8/2016,1.873503164
AV,10/9/2016,1.975847557
AV,10/10/2016,1.844684636
AV,10/11/2016,1.948711202
AV,10/12/2016,1.989410934
AV,10/13/2016,1.916250115
AV,10/14/2016,1.889603916
AV,10/15/2016,1.908383711
AV,10/16/2016,1.979829402
AV,10/17/2016,1.779310345
AV,10/18/2016,1.960068343
AV,10/19/2016,1.976326008
AV,10/20/2016,1.960458882
AV,10/21/2016,1.909752806
AV,10/22/2016,1.871516516
AV,10/23/2016,1.937626015
AV,10/24/2016,1.922964105
AV,10/25/2016,1.971769677
AV,10/26/2016,1.958098229
AV,10/27/2016,1.952502999
AV,10/28/2016,1.986869837
AV,10/29/2016,1.939626513
AV,10/30/2016,1.850185624
AV,10/31/2016,1.899156715
AV,11/1/2016,1.970239887
AV,11/2/2016,1.974435012
AV,11/3/2016,1.966585636
AV,11/4/2016,1.797032725
AV,11/5/2016,1.94911855
AV,11/6/2016,1.82152915
AV,11/7/2016,1.889249679
AV,11/8/2016,1.940580732
AV,11/9/2016,1.942639976
AV,11/10/2016,1.871891408
AV,11/11/2016,1.947463575
AV,11/12/2016,1.959573887
AV,11/13/2016,1.819050497
AV,11/14/2016,1.943687047
AV,11/15/2016,1.870454961
AV,11/16/2016,1.911739801
AV,11/17/2016,1.959906182
AV,11/18/2016,1.966049074
AV,11/19/2016,1.948467522
AV,11/20/2016,1.705788685
AV,11/21/2016,1.958846752
AV,11/22/2016,1.704559585
AV,11/23/2016,1.902984055
AV,11/24/2016,1.913055604
AV,11/25/2016,1.944808076
AV,11/26/2016,1.966079
AV,11/27/2016,1.929091191
AV,11/28/2016,1.957022017
AV,11/29/2016,1.751169581
AV,11/30/2016,1.939844999
AV,12/1/2016,1.835794804
AV,12/2/2016,2.351905274
AV,12/3/2016,2.101793802
AV,12/4/2016,2.625278306
AV,12/5/2016,2.029384145
AV,12/6/2016,1.761478509
AV,12/7/2016,2.417848708
AV,12/8/2016,1.941614269
AV,12/9/2016,1.92301077
AV,12/10/2016,2.096437337
AV,12/11/2016,2.616217542
AV,12/12/2016,1.984194415
AV,12/13/2016,1.814290852
AV,12/14/2016,2.228038024
AV,12/15/2016,1.763070814
AV,12/16/2016,1.945850649
AV,12/17/2016,1.93348222
AV,12/18/2016,2.467156094
AV,12/19/2016,2.158770889
AV,12/20/2016,2.705026767
AV,12/21/2016,2.105476738
AV,12/22/2016,2.603086141
AV,12/23/2016,2.423502126
AV,12/24/2016,1.95850567
AV,12/25/2016,2.231376838
AV,12/26/2016,2.063117139
AV,12/27/2016,2.622956022
AV,12/28/2016,2.279279553
AV,12/29/2016,2.0633726
AV,12/30/2016,2.306188273
AV,12/31/2016,2.733212234
AV,1/1/2017,1.980977281
AV,1/2/2017,1.937125593
AV,1/3/2017,2.444812577
AV,1/4/2017,2.178123084
AV,1/5/2017,2.640992759
AV,1/6/2017,2.204319263
AV,1/7/2017,1.90827696
AV,1/8/2017,2.515672232
AV,1/9/2017,1.966644091
AV,1/10/2017,2.224711785
AV,1/11/2017,2.098692174
AV,1/12/2017,2.680514262
AV,1/13/2017,2.010887008
AV,1/14/2017,2.233760876
AV,1/15/2017,2.406225029
AV,1/16/2017,2.711591232
AV,1/17/2017,1.95195861
AV,1/18/2017,1.897248244
AV,1/19/2017,2.59809838
AV,1/20/2017,2.16140334
AV,1/21/2017,1.852197071
AV,1/22/2017,2.203482743
AV,1/23/2017,2.615446243
AV,1/24/2017,2.496189024
AV,1/25/2017,1.852070051
AV,1/26/2017,2.549006485
AV,1/27/2017,2.144631608
AV,1/28/2017,1.930735931
AV,1/29/2017,2.337991959
AV,1/30/2017,2.089862627
AV,1/31/2017,2.343899582
AV,2/1/2017,1.867940718
AV,2/2/2017,2.503668108
AV,2/3/2017,2.078885124
AV,2/4/2017,2.786273329
AV,2/5/2017,2.283802745
AV,2/6/2017,2.637425905
AV,2/7/2017,2.254585789
AV,2/8/2017,2.699547592
AV,2/9/2017,2.462791974
AV,2/10/2017,1.917404441
AV,2/11/2017,2.302873419
AV,2/12/2017,2.139996478
AV,2/13/2017,2.669157004
AV,2/14/2017,2.336778312
AV,2/15/2017,2.161666293
AV,2/16/2017,2.507309144
AV,2/17/2017,2.64188851
AV,2/18/2017,2.506017891
AV,2/19/2017,2.019175623
AV,2/20/2017,2.549677569
AV,2/21/2017,2.233900997
AV,2/22/2017,2.639123354
AV,2/23/2017,2.202002612
AV,2/24/2017,1.830488089
AV,2/25/2017,2.457944274
AV,2/26/2017,1.889534744
AV,2/27/2017,2.348190977
AV,2/28/2017,2.196459702
AV,3/1/2017,1.832271551
AV,3/2/2017,1.925051243
AV,3/3/2017,1.809507571
AV,3/4/2017,1.969248599
AV,3/5/2017,2.143597192
AV,3/6/2017,1.949930722
AV,3/7/2017,1.878875568
AV,3/8/2017,1.900062526
AV,3/9/2017,1.982595243
AV,3/10/2017,1.762962963
AV,3/11/2017,1.924135636
AV,3/12/2017,1.836340767
AV,3/13/2017,1.977182566
AV,3/14/2017,1.883978472
AV,3/15/2017,1.973279124
AV,3/16/2017,1.94074098
AV,3/17/2017,1.940287543
AV,3/18/2017,1.94286488
AV,3/19/2017,1.986161252
AV,3/20/2017,1.98117598
AV,3/21/2017,1.834678142
AV,3/22/2017,1.951359549
AV,3/23/2017,1.93463903
AV,3/24/2017,1.919990017
AV,3/25/2017,1.971018742
AV,3/26/2017,1.779256757
AV,3/27/2017,1.978300235
AV,3/28/2017,1.983654982
AV,3/29/2017,1.980043635
AV,3/30/2017,1.857647686
AV,3/31/2017,1.949320148
AV,4/1/2017,1.931314491
AV,4/2/2017,1.901754265
AV,4/3/2017,1.981704769
AV,4/4/2017,1.742472819
AV,4/5/2017,1.962017094
AV,4/6/2017,1.80189098
AV,4/7/2017,1.896984925
AV,4/8/2017,1.817207638
AV,4/9/2017,1.90051216
AV,4/10/2017,1.951128924
AV,4/11/2017,1.790734126
AV,4/12/2017,1.905024919
AV,4/13/2017,1.818051142
AV,4/14/2017,1.965590815
AV,4/15/2017,1.887446343
AV,4/16/2017,1.940621793
AV,4/17/2017,1.916666667
AV,4/18/2017,1.807605283
AV,4/19/2017,1.926333702
AV,4/20/2017,1.78790932
AV,4/21/2017,1.934363826
AV,4/22/2017,1.883302468
AV,4/23/2017,1.837365653
AV,4/25/2017,1.846617265
AV,4/26/2017,1.908200453
AV,4/27/2017,1.859368211
AV,4/28/2017,1.867164652
AV,4/29/2017,1.815871896
AV,4/30/2017,1.932366417
AV,5/1/2017,1.782232735
AV,5/2/2017,1.947568496
AV,5/3/2017,1.796735799
AV,5/4/2017,1.909735494
AV,5/5/2017,1.889853147
AV,5/6/2017,1.83648657
AV,5/7/2017,1.916180349
AV,5/8/2017,1.971992807
AV,5/9/2017,1.886644431
AV,5/10/2017,1.735682396
AV,5/11/2017,1.872063247
AV,5/12/2017,1.932653291
AV,5/13/2017,1.917888978
AV,5/14/2017,1.840664244
AV,5/15/2017,1.725783727
AV,5/16/2017,1.96417687
AV,5/17/2017,1.76859825
AV,5/18/2017,1.915658363
AV,5/19/2017,1.872274756
AV,5/20/2017,1.918254934
AV,5/21/2017,1.744479663
AV,5/22/2017,1.913630315
AV,5/23/2017,1.926219533
AV,5/24/2017,1.860077461
AV,5/25/2017,1.946057307
AV,5/26/2017,1.782710074
AV,5/27/2017,1.848167643
AV,5/28/2017,1.91708114
AV,5/29/2017,1.894895087
AV,5/30/2017,1.808732274
AV,5/31/2017,1.63038441
